value;label;revenue
0001-81518;PROMOINVEST FONDO SELECTIVO 16.77;16.77
0101-6104;FONDO DE FONDOS CREDICORP CAPITAL ACCIONES ESTADOS UNIDOS FMIV 11.61;11.61
0018-6104; CREDICORP CAPITAL ACCIONES FMIV (ANT BCP ACCIONES FMIV) 10.4;10.4
0016-67343;SCOTIA FONDO DE FONDOS ACCIONES US FMIV 8.0;8.0
0003-113223;SURA ACCIONES FMIV (ANTES ING RENTA ACCIONES FMIV) 7.42;7.42
0016-113223;FONDO DE FONDOS SURA ACCIONES NORTEAMERICANAS FMIV 7.41;7.41
0106-6104;CREDICORP CAPITAL CUPON DINAMICO FMIV 7.12;7.12
0003-38036;BBVA MODERADO  -S  FMIV  (ANTES BBVA MODERADO SOLES FMIV)  6.66;6.66
0023-67343;SCOTIA FONDO RENTA SOLES 5 AÑOS FMIV 6.26;6.26
0017-38036;BBVA AGRESIVO - S FMIV (ANTES BBVA AGRESIVO SOLES FMIV  ) 6.07;6.07
0065-6104; FONDO DE FONDOS CREDICORP CAPITAL VISION III FMIV (ANTESFONDO MUTUO CREDICORP CAPITAL VISION III) 5.58;5.58
0027-67343;SCOTIA FONDO RENTA SOLES 4.5Y FMIV 5.39;5.39
0015-6104;CREDICORP CAPITAL MODERADO FMIV ( ANTES BCP MODERADO FMIV) 5.28;5.28
0031-67343;SCOTIA FONDO RENDIMIENTO BINARIO SOLES FMIV 5.07;5.07
0056-6107;IF PORTAFOLIO DINAMICO FMIV 4.93;4.93
0022-6104;CREDICORP CAPITAL CRECIMIENTO VCS FMIV (ANT BCP CRECIMIENTO SOLES FMIV 4.9;4.9
0006-6104;CREDICORP CAPITAL CONSERVADOR LIQUIDEZ SOLES FMIV 4.84;4.84
0002-38036;BBVA SOLES FMIV 4.78;4.78
0027-6104;CREDICORP CAPITAL ACCIONES GLOBAL FMIV 4.66;4.66
0060-6104;CREDICORP CAPITAL RENTA EN DOLARES VI FMIV 4.63;4.63
0064-6104;FONDO DE FONDOS CREDICORP CAPITAL VISION II FMIV (ANTES FONDO MUTUO CREDICORP CAPITAL VISION II) 4.61;4.61
0026-38036;BBVA FONDO DE FONDOS BBVA GLOBAL EQUITY FMIV (ANTES AGRESIVO -D FMIV) 4.58;4.58
0002-113223;SURA RENTA SOLES FMIV (ANTES ING RENTA SOLES FMIV) 4.52;4.52
0019-6104;CREDICORP CAPITAL CONSERVADOR MEDIANO PLAZO SOLES FMIV 4.22;4.22
0006-120161;DIVISO EXTRA CONSERVADOR SOLES FMIV 4.06;4.06
0004-67343;SCOTIA FONDO CASH S/. FMIV 3.99;3.99
0004-6107;IF MEDIANO PLAZO SOLES FMIV(ANTES IF DEUDA SOLES FMIV)  3.93;3.93
0016-38036; BBVA BALANCEADO -S FMIV (ANTES BBVA BALANCEADO  SOLES FMIV)  3.88;3.88
0001-6107;IF MIXTO BALANCEADO FMIV 3.84;3.84
0008-67343;SCOTIA FONDO PREMIUM S/. FMIV 3.76;3.76
0005-113223;SURA CORTO PLAZO SOLES FMIV (ANTES ING RENTA CORTO PLAZO SOLES - FMIV) 3.75;3.75
0020-6104; CREDICORP CAPITAL EQUILIBRADO FMIV ( ANTES BCP EQUILIBRADO FMIV) 3.72;3.72
0008-113223;SURA ULTRA CASH SOLES FMIV (ANTES ING RENTA CASH SOLES-FMIV) 3.71;3.71
0023-6104;CREDICORP CAPITAL EQUILIBRADO VCS FMIV (ANT BCP EQUILIBRADO SOLES FMIV 3.64;3.64
0013-6107;IF CASH SOLES FMIV 3.52;3.52
0010-38036;BBVA SOLES MONETARIO FMIV (ANTES BBVA TESORERIA SOLES FMIV) 3.48;3.48
0032-6104;CREDICORP CAPITAL CONSERVADOR CORTO PLAZO SOLES FMIV 3.41;3.41
0011-67343;  SCOTIA FONDO ACCIONES FMIV   ( SCOTIA FONDO ACCIONES S/. FMIV) 3.4;3.4
0100-6104;FONDO  DE FONDOS CREDICORP CAPITAL ACCIONES ASIA FMIV 3.31;3.31
0002-6107;IF MEDIANO PLAZO  FMIV (ANTES IF DEUDA FMIV) 3.26;3.26
0126-6104;FONDO DE FONDOS CREDICORP CAPITAL CONSUMO GLOBAL FMIV 3.26;3.26
0025-67343;SCOTIA FONDO RENTA LATAM 6Y FMIV 3.16;3.16
0010-6107; IF ACCIONES FMIV ( ANTES IF ACCIONES SOLES FMIV) 3.08;3.08
0021-6104;CREDICORP CAPITAL MODERADO VCS FMIV (ANTES BCP MODERADO SOLES FMIV) 3.08;3.08
0002-6104;CREDICORP CAPITAL CONSERVADOR MEDIANO PLAZO DOLARES FMIV 3.08;3.08
0016-6107;IF OPORTUNIDAD SOLES FMIV 3.01;3.01
0001-67343;SCOTIA FONDO PREMIUM $ FMIV 2.99;2.99
0012-67343;SCOTIA FONDO  DEPOSITO DISPONIBLE S/. FMIV 2.97;2.97
0057-67343;SF RENDIMIENTO CONDICIONAL SOLES FMIV 2.95;2.95
0014-6107;IF EXTRA CONSERVADOR SOLES FMIV 2.9;2.9
0001-113223;SURA RENTA DÓLARES FMIV (ANTES ING RENTA FUND - FMIV) 2.88;2.88
0028-38036;BBVA PERU SOLES FMIV 2.85;2.85
0022-6107;IF LIBRE DISPONIBILIDAD SOLES FMIV 2.85;2.85
0011-6107;IF MIXTO MODERADO SOLES FMIV 2.84;2.84
0062-6104;FONDO DE FONDOS CREDICORP  CAPITAL VISION I FMIV (ANTES FONDO MUTUO CREDICORP CAPITAL VISION I) 2.84;2.84
0021-38036;BBVA CASH SOLES FMIV 2.66;2.66
0026-67343;SCOTIA FONDO RENTA LATAM 4Y II FMIV 2.64;2.64
0003-81518;PROMOINVEST INCASOL FMIV 2.63;2.63
0080-6104;CREDICORP CAPITAL RENTA EN DOLARES II FMIV 2.59;2.59
0001-38036;BBVA DOLARES FMIV 2.58;2.58
